Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,400,[  6.8375  589.40782],[ 0.36890886 37.58315235],[  6.    482.737],[  7.   696.03],"[44, 32, 6, 30, 39, 48, 62, 7, 17, 42, 29, 23, 21, 46, 51, 49, 41, 40, 35, 10, 37, 14, 1, 5, 47, 61, 56, 33, 65, 57, 4, 25, 45, 16, 9, 18, 53, 50, 59, 24, 22, 43, 13, 55, 63, 38, 58, 11, 66, 3, 64, 60, 67, 36, 28, 52, 19, 68, 34, 26, 31, 20, 2, 15, 12, 27, 54, 8]","(6.0, 489.126)"
1,346,[  6.61      555.9905425],[ 0.48774994 28.52548324],[  6.    468.492],[  7.   669.56],"[44, 32, 6, 30, 39, 48, 62, 7, 17, 42, 29, 23, 21, 46, 51, 49, 41, 40, 35, 10, 37, 14, 1, 5, 47, 61, 56, 33, 65, 57, 4, 25, 45, 16, 9, 18, 53, 50, 59, 24, 22, 43, 13, 55, 63, 38, 58, 11, 66, 3, 64, 60, 67, 36, 28, 52, 19, 68, 34, 26, 31, 20, 2, 15, 12, 27, 54, 8]","(6.0, 489.126)"
2,338,[  6.4975  531.74769],[ 0.49999375 21.03013294],[  6.    456.032],[  7.    571.321],"[62, 9, 48, 65, 18, 36, 2, 37, 39, 53, 44, 55, 57, 16, 40, 38, 3, 26, 35, 21, 25, 19, 43, 13, 10, 54, 20, 51, 64, 11, 12, 7, 67, 8, 1, 33, 45, 60, 61, 24, 5, 58, 66, 6, 28, 49, 41, 50, 47, 42, 52, 30, 46, 29, 17, 22, 34, 14, 23, 32, 15, 59, 63, 56, 4, 27, 31, 68]","(6.0, 456.032)"
3,348,[  6.4425  513.29193],[ 0.49668275 16.77630145],[  6.   444.32],[  7.    537.438],"[62, 9, 48, 65, 18, 36, 2, 37, 39, 53, 44, 55, 57, 16, 40, 38, 3, 26, 35, 21, 25, 19, 43, 13, 10, 54, 20, 51, 64, 11, 12, 7, 67, 8, 1, 33, 45, 60, 61, 24, 5, 58, 66, 6, 28, 49, 41, 50, 47, 42, 52, 30, 46, 29, 17, 22, 34, 14, 23, 32, 15, 59, 63, 56, 4, 27, 31, 68]","(6.0, 456.032)"
4,338,[  6.395    498.132645],[ 0.48885069 14.78968406],[  6.   444.32],[  7.    516.951],"[62, 9, 48, 65, 18, 36, 2, 37, 39, 53, 44, 55, 57, 16, 40, 38, 3, 26, 35, 21, 25, 19, 43, 13, 10, 54, 20, 51, 64, 11, 12, 7, 67, 8, 1, 33, 45, 60, 61, 24, 5, 58, 66, 6, 28, 49, 41, 50, 47, 42, 52, 30, 46, 29, 17, 22, 34, 14, 23, 32, 15, 59, 63, 56, 4, 27, 31, 68]","(6.0, 456.032)"
5,326,[  6.4175    486.8122325],[ 0.49314678 13.76487686],[  6.    442.772],[  7.    500.978],"[62, 9, 48, 65, 18, 36, 2, 37, 39, 53, 44, 55, 57, 16, 40, 38, 3, 26, 35, 21, 25, 19, 43, 13, 10, 54, 20, 51, 64, 11, 12, 7, 67, 8, 1, 33, 45, 60, 61, 24, 5, 58, 66, 6, 28, 49, 41, 50, 47, 42, 52, 30, 46, 29, 17, 22, 34, 14, 23, 32, 15, 59, 63, 56, 4, 27, 31, 68]","(6.0, 456.032)"
6,330,[  6.4875    476.2465275],[ 0.49984373 12.67853176],[  6.    442.772],[  7.    494.124],"[62, 9, 48, 65, 18, 36, 2, 37, 39, 53, 4, 55, 57, 16, 40, 38, 3, 26, 35, 21, 25, 19, 43, 13, 10, 54, 20, 51, 64, 11, 12, 7, 67, 8, 1, 33, 45, 60, 61, 24, 5, 58, 66, 6, 28, 49, 41, 50, 47, 42, 52, 30, 46, 29, 17, 22, 34, 14, 23, 32, 15, 59, 63, 56, 44, 27, 31, 68]","(6.0, 453.01899999999995)"
7,312,[  6.5       466.2041875],[ 0.5        10.91585721],[  6.    427.188],[  7.   484.99],"[62, 9, 48, 12, 18, 21, 2, 37, 39, 53, 44, 55, 57, 16, 31, 38, 3, 26, 35, 36, 25, 19, 43, 24, 10, 8, 20, 51, 64, 11, 65, 7, 67, 54, 1, 33, 45, 60, 61, 13, 5, 58, 66, 6, 28, 49, 41, 50, 47, 42, 52, 30, 46, 29, 17, 22, 34, 14, 23, 32, 15, 59, 63, 56, 4, 27, 40, 68]","(6.0, 435.216)"
8,346,[  6.4825   458.209315],[0.49969366 9.11064148],[  6.    425.703],[  7.    473.542],"[61, 6, 46, 44, 56, 67, 34, 53, 31, 20, 4, 3, 19, 55, 54, 36, 21, 25, 43, 38, 35, 51, 41, 32, 29, 28, 39, 66, 26, 12, 11, 7, 17, 23, 27, 33, 15, 10, 30, 47, 16, 18, 62, 60, 58, 65, 63, 68, 57, 13, 5, 9, 37, 2, 48, 52, 45, 22, 42, 24, 49, 1, 59, 40, 50, 8, 14, 64]","(6.0, 429.169)"
9,330,[  6.48      452.0201675],[0.49959984 8.56983439],[  6.    425.703],[  7.    464.786],"[61, 6, 46, 44, 56, 67, 34, 53, 31, 20, 4, 3, 19, 55, 54, 36, 21, 25, 43, 38, 35, 51, 41, 32, 29, 28, 39, 66, 26, 12, 11, 7, 17, 23, 27, 33, 15, 10, 30, 47, 16, 18, 62, 60, 58, 65, 63, 68, 57, 13, 5, 9, 37, 2, 48, 52, 45, 22, 42, 24, 49, 1, 59, 40, 50, 8, 14, 64]","(6.0, 429.169)"
