Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,300,[  7.         643.84698354],[ 0.         44.25961039],[  7.         504.16887699],[  7.         776.96123311],"[23, 16, 2, 20, 13, 18, 12, 15, 8, 6, 11, 4, 24, 10, 3, 5, 22, 19, 14, 17, 9, 7, 25, 21, 1]","(7.0, 504.168876986048)"
1,198,[  7.         597.59229245],[ 0.         26.34994109],[  7.         504.16887699],[  7.        632.3768364],"[23, 16, 2, 20, 13, 18, 12, 15, 8, 6, 11, 4, 24, 10, 3, 5, 22, 19, 14, 17, 9, 7, 25, 21, 1]","(7.0, 504.168876986048)"
2,236,[  7.         568.71788661],[ 0.         20.91524959],[  7.         504.16887699],[  7.         592.96429326],"[23, 16, 2, 20, 13, 18, 12, 15, 8, 6, 11, 4, 24, 10, 3, 5, 22, 19, 14, 17, 9, 7, 25, 21, 1]","(7.0, 504.168876986048)"
3,198,[  7.         546.60204211],[ 0.         16.89445747],[  7.         497.37245397],[  7.         571.66787628],"[13, 14, 16, 18, 17, 25, 20, 24, 23, 4, 7, 1, 11, 9, 6, 3, 10, 5, 8, 19, 12, 15, 22, 21, 2]","(7.0, 497.3724539687601)"
4,208,[  7.         529.40848495],[ 0.         11.86955382],[  7.         491.92821633],[  7.         545.22523468],"[16, 17, 9, 10, 1, 12, 14, 8, 21, 22, 20, 25, 6, 11, 3, 5, 18, 19, 2, 24, 4, 13, 15, 7, 23]","(7.0, 491.92821632576215)"
5,218,[  7.         518.23768931],[0.         9.88235148],[  7.         487.50552558],[  7.         527.16216707],"[16, 17, 9, 7, 1, 12, 14, 8, 21, 22, 20, 25, 6, 11, 3, 5, 18, 19, 2, 24, 4, 13, 15, 10, 23]","(7.0, 487.50552557797755)"
6,200,[  7.        507.5105177],[0.         7.45116449],[  7.         482.77488337],[  7.        523.5137476],"[24, 11, 2, 7, 14, 12, 19, 15, 20, 25, 10, 1, 16, 17, 3, 6, 23, 22, 8, 9, 18, 13, 4, 5, 21]","(7.0, 482.7748833742471)"
7,220,[  7.         500.99066594],[0.         5.07670024],[  7.         476.07073834],[  7.         504.16887699],"[23, 22, 2, 20, 13, 18, 12, 15, 8, 6, 11, 4, 24, 10, 3, 5, 16, 19, 14, 17, 9, 7, 25, 21, 1]","(7.0, 476.0707383374768)"
8,210,[  7.         496.02355215],[0.         6.04359818],[  7.         469.05677016],[  7.         503.96239195],"[13, 14, 16, 18, 17, 25, 20, 24, 23, 4, 7, 1, 11, 9, 6, 3, 10, 5, 8, 22, 12, 15, 19, 21, 2]","(7.0, 469.05677016320595)"
9,200,[  7.        490.7692776],[0.         5.85441649],[  7.         466.90361816],[  7.         497.37245397],"[16, 17, 13, 7, 1, 12, 14, 8, 21, 22, 20, 25, 6, 2, 3, 5, 18, 19, 11, 24, 4, 9, 15, 10, 23]","(7.0, 466.9036181550034)"
10,216,[  7.         485.65022909],[0.         5.91973349],[  7.         466.90361816],[  7.         491.92821633],"[16, 17, 13, 7, 1, 12, 14, 8, 21, 22, 20, 25, 6, 2, 3, 5, 18, 19, 11, 24, 4, 9, 15, 10, 23]","(7.0, 466.9036181550034)"
11,200,[  7.         479.88809362],[0.         5.79158203],[  7.         453.86164218],[  7.         487.50552558],"[16, 17, 9, 10, 1, 12, 14, 8, 21, 22, 20, 25, 6, 4, 3, 5, 18, 19, 15, 24, 11, 13, 2, 7, 23]","(7.0, 453.8616421814269)"
12,232,[  7.         474.97677929],[0.         5.93823166],[  7.         453.86164218],[  7.         482.70715605],"[16, 17, 9, 10, 1, 12, 14, 8, 21, 22, 20, 25, 6, 4, 3, 5, 18, 19, 15, 24, 11, 13, 2, 7, 23]","(7.0, 453.8616421814269)"
13,234,[  7.         469.37314504],[0.        3.8130057],[  7.         451.90990852],[  7.         474.56493505],"[16, 17, 9, 7, 1, 12, 14, 8, 21, 22, 20, 25, 6, 2, 3, 5, 18, 19, 15, 24, 4, 13, 11, 10, 23]","(7.0, 451.90990851551044)"
14,194,[  7.         466.33360558],[0.         3.91109114],[  7.         451.90990852],[  7.         469.05677016],"[16, 17, 9, 7, 1, 12, 14, 8, 21, 22, 20, 25, 6, 2, 3, 5, 18, 19, 15, 24, 4, 13, 11, 10, 23]","(7.0, 451.90990851551044)"
15,230,[  7.         463.85748381],[0.         4.85662954],[  7.        450.8325729],[  7.         466.90361816],"[16, 17, 9, 10, 1, 12, 14, 2, 21, 22, 20, 25, 6, 4, 3, 5, 18, 19, 15, 24, 11, 13, 8, 7, 23]","(7.0, 450.83257290088153)"
16,210,[  7.         459.72589287],[0.         5.60117533],[  7.         434.11553896],[  7.         466.05922577],"[8, 1, 9, 7, 17, 12, 14, 16, 21, 22, 20, 25, 6, 11, 3, 5, 18, 19, 15, 24, 4, 13, 2, 10, 23]","(7.0, 434.11553896214735)"
