Generation,evals,avg,std,min,max,best_one,fitness_best_one
188,336,[  5.        258.7930375],[0.        0.2964113],[  5.    257.756],[  5.    259.045],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 40, 39, 21, 36, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 22, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 37, 67, 64, 61, 63]","(5.0, 257.75600000000003)"
189,344,[  5.      258.70879],[0.         0.33069673],[  5.    257.756],[  5.    258.906],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 40, 39, 21, 36, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 22, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 37, 67, 64, 61, 63]","(5.0, 257.75600000000003)"
190,338,[  5.     258.6377],[0.         0.35696258],[  5.    257.756],[  5.    258.876],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 40, 39, 21, 36, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 22, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 37, 67, 64, 61, 63]","(5.0, 257.75600000000003)"
191,318,[  5.        258.5177925],[0.        0.3953154],[  5.    257.756],[  5.    258.831],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 40, 39, 21, 36, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 22, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 37, 67, 64, 61, 63]","(5.0, 257.75600000000003)"
192,348,[  5.        258.3920175],[0.         0.40913812],[  5.    257.369],[  5.    258.831],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 36, 39, 21, 40, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 22, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 37, 67, 64, 61, 63]","(5.0, 257.369)"
193,344,[  5.        258.2585025],[0.         0.39750512],[  5.    257.369],[  5.    258.645],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 36, 39, 21, 40, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 22, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 37, 67, 64, 61, 63]","(5.0, 257.369)"
194,350,[  5.      258.13478],[0.         0.38699442],[  5.    257.369],[  5.    258.639],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 36, 39, 21, 40, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 22, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 37, 67, 64, 61, 63]","(5.0, 257.369)"
195,354,[  5.        257.9900475],[0.         0.32346583],[  5.    257.369],[  5.    258.575],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 36, 39, 21, 40, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 22, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 37, 67, 64, 61, 63]","(5.0, 257.369)"
196,332,[  5.        257.8110375],[0.        0.1426983],[  5.    257.261],[  5.    258.265],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 40, 39, 21, 36, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 37, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 22, 67, 64, 61, 63]","(5.0, 257.261)"
197,326,[  5.      257.74587],[0.         0.06158196],[  5.    257.261],[  5.    257.756],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 40, 39, 21, 36, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 37, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 22, 67, 64, 61, 63]","(5.0, 257.261)"
198,338,[  5.      257.73934],[0.         0.07820562],[  5.    257.261],[  5.    257.756],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 40, 39, 21, 36, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 37, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 22, 67, 64, 61, 63]","(5.0, 257.261)"
199,336,[  5.        257.7292525],[0.        0.0971517],[  5.    257.261],[  5.    257.756],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 40, 39, 21, 36, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 37, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 22, 67, 64, 61, 63]","(5.0, 257.261)"
200,322,[  5.        257.7143925],[0.         0.11769749],[  5.    257.261],[  5.    257.756],"[30, 28, 50, 49, 5, 57, 62, 17, 18, 58, 66, 59, 2, 68, 40, 39, 21, 36, 42, 54, 45, 31, 65, 55, 60, 8, 10, 7, 9, 14, 15, 38, 32, 23, 27, 29, 26, 46, 37, 34, 33, 16, 4, 56, 13, 11, 12, 43, 48, 24, 25, 35, 6, 53, 1, 41, 3, 51, 44, 20, 19, 52, 47, 22, 67, 64, 61, 63]","(5.0, 257.261)"
