Generation,evals,avg,std,min,max,best_one,fitness_best_one
20,338,[  5.       362.981245],[0.         5.27191834],[  5.   333.41],[  5.    372.182],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 55, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 14, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 1, 62, 30, 29, 37, 20, 23, 52, 50, 40, 10, 4, 64, 63]","(5.0, 333.40999999999997)"
21,332,[  5.      359.43291],[0.         4.97121681],[  5.   333.41],[  5.    362.564],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 55, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 14, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 1, 62, 30, 29, 37, 20, 23, 52, 50, 40, 10, 4, 64, 63]","(5.0, 333.40999999999997)"
22,350,[  5.005    356.671165],[0.07053368 5.80478967],[  5.    332.328],[  6.    361.437],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 1, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 55, 62, 30, 29, 37, 20, 23, 52, 50, 40, 10, 4, 64, 63]","(5.0, 332.328)"
23,344,[  5.0075    352.9221425],[0.08627717 6.77508074],[  5.   329.23],[  6.    359.115],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 1, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 55, 10, 30, 29, 37, 20, 23, 52, 50, 40, 62, 4, 64, 63]","(5.0, 329.23)"
24,344,[  5.005     348.5610625],[0.07053368 7.13511642],[  5.   329.23],[  6.    355.922],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 1, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 55, 10, 30, 29, 37, 20, 23, 52, 50, 40, 62, 4, 64, 63]","(5.0, 329.23)"
25,354,[  5.0025   344.126045],[0.04993746 7.21163593],[  5.  328.5],[  6.    352.287],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 64, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 1, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 55, 10, 30, 29, 23, 20, 37, 52, 50, 40, 62, 4, 15, 63]","(5.0, 328.49999999999994)"
26,324,[  5.005   338.44852],[0.07053368 5.08113788],[  5.  328.5],[  6.    348.668],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 61, 7, 68, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 64, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 1, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 55, 10, 30, 29, 23, 20, 37, 52, 50, 40, 62, 4, 15, 63]","(5.0, 328.49999999999994)"
27,334,[  5.0025    334.6660825],[0.04993746 1.90343938],[  5.    327.734],[  6.    337.391],"[25, 35, 34, 49, 5, 57, 3, 60, 18, 12, 68, 66, 7, 61, 22, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 2, 9, 15, 21, 38, 32, 46, 28, 51, 26, 53, 19, 36, 6, 1, 56, 13, 41, 54, 31, 43, 48, 24, 44, 45, 27, 47, 55, 10, 30, 29, 37, 20, 23, 52, 50, 40, 62, 4, 64, 63]","(5.0, 327.73400000000004)"
28,332,[  5.        333.3915125],[0.         1.95066674],[  5.    320.254],[  5.    335.763],"[5, 19, 34, 49, 44, 57, 3, 60, 12, 18, 66, 2, 7, 68, 35, 33, 8, 14, 58, 11, 59, 42, 39, 16, 17, 65, 67, 61, 9, 15, 45, 38, 32, 20, 28, 51, 26, 53, 22, 47, 6, 55, 4, 13, 50, 54, 31, 43, 48, 24, 25, 21, 27, 36, 1, 62, 30, 29, 37, 46, 23, 52, 41, 40, 10, 56, 64, 63]","(5.0, 320.25399999999996)"
29,342,[  5.       332.160455],[0.         1.86999281],[  5.    315.306],[  5.   334.12],"[44, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 59, 7, 68, 19, 33, 8, 14, 58, 11, 64, 42, 39, 16, 17, 65, 67, 2, 9, 15, 45, 38, 32, 20, 28, 51, 26, 53, 22, 47, 6, 55, 4, 13, 50, 54, 31, 43, 48, 24, 25, 21, 27, 36, 1, 62, 30, 29, 37, 46, 23, 52, 41, 40, 10, 56, 61, 63]","(5.0, 315.30600000000004)"
30,332,[  5.0025    331.1083425],[0.04993746 1.99048986],[  5.    315.306],[  6.    333.149],"[44, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 59, 7, 68, 19, 33, 8, 14, 58, 11, 64, 42, 39, 16, 17, 65, 67, 2, 9, 15, 45, 38, 32, 20, 28, 51, 26, 53, 22, 47, 6, 55, 4, 13, 50, 54, 31, 43, 48, 24, 25, 21, 27, 36, 1, 62, 30, 29, 37, 46, 23, 52, 41, 40, 10, 56, 61, 63]","(5.0, 315.30600000000004)"
31,348,[  5.0025    330.0000175],[0.04993746 2.15103112],[  5.    315.306],[  6.    332.211],"[44, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 59, 7, 68, 19, 33, 8, 14, 58, 11, 64, 42, 39, 16, 17, 65, 67, 2, 9, 15, 45, 38, 32, 20, 28, 51, 26, 53, 22, 47, 6, 55, 4, 13, 50, 54, 31, 43, 48, 24, 25, 21, 27, 36, 1, 62, 30, 29, 37, 46, 23, 52, 41, 40, 10, 56, 61, 63]","(5.0, 315.30600000000004)"
32,340,[  5.0025    328.6915025],[0.04993746 2.29609336],[  5.    315.306],[  6.    331.106],"[44, 35, 34, 49, 5, 57, 3, 60, 18, 12, 66, 59, 7, 68, 19, 33, 8, 14, 58, 11, 64, 42, 39, 16, 17, 65, 67, 2, 9, 15, 45, 38, 32, 20, 28, 51, 26, 53, 22, 47, 6, 55, 4, 13, 50, 54, 31, 43, 48, 24, 25, 21, 27, 36, 1, 62, 30, 29, 37, 46, 23, 52, 41, 40, 10, 56, 61, 63]","(5.0, 315.30600000000004)"
