Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,300,[  7.66       674.23350688],[ 0.48757905 42.9289984 ],[  7.         561.38165375],[  9.         803.66617236],"[11, 15, 7, 5, 23, 13, 22, 16, 12, 19, 21, 24, 1, 8, 10, 20, 2, 14, 3, 18, 17, 9, 6, 4, 25]","(7.0, 576.1817580430504)"
1,200,[  7.40666667 630.65537312],[ 0.49121165 24.30839682],[  7.         554.28885291],[  8.         668.86426465],"[5, 7, 19, 11, 4, 3, 18, 13, 8, 23, 20, 2, 9, 15, 12, 14, 25, 1, 16, 10, 6, 21, 24, 22, 17]","(7.0, 554.2888529085923)"
2,206,[  7.30333333 605.13021192],[ 0.45969797 18.289551  ],[  7.         544.22402842],[  8.         631.33243855],"[14, 19, 5, 6, 23, 2, 22, 21, 10, 12, 16, 20, 13, 17, 7, 4, 3, 11, 9, 24, 18, 15, 8, 1, 25]","(7.0, 544.2240284230674)"
3,204,[  7.24666667 587.25482201],[ 0.43107102 16.49497316],[  7.         526.70656214],[  8.         606.00126541],"[18, 16, 3, 21, 19, 14, 9, 6, 23, 25, 24, 5, 1, 2, 8, 10, 4, 11, 17, 22, 7, 13, 15, 12, 20]","(7.0, 526.7065621358065)"
4,200,[  7.28      570.6577562],[ 0.44899889 12.81438701],[  7.         526.70656214],[  8.         590.09459554],"[18, 16, 3, 21, 19, 14, 9, 6, 23, 25, 24, 5, 1, 2, 8, 10, 4, 11, 17, 22, 7, 13, 15, 12, 20]","(7.0, 526.7065621358065)"
5,214,[  7.33666667 558.6801909 ],[ 0.47256981 11.63511422],[  7.         526.70656214],[  8.         576.18175804],"[18, 16, 3, 21, 19, 14, 9, 6, 23, 25, 24, 5, 1, 2, 8, 10, 4, 11, 17, 22, 7, 13, 15, 12, 20]","(7.0, 526.7065621358065)"
6,214,[  7.02666667 547.24888357],[0.16110728 8.33395209],[  7.         525.03792059],[  8.         561.21762874],"[18, 16, 3, 21, 19, 14, 9, 11, 7, 25, 24, 5, 1, 2, 8, 10, 4, 6, 17, 22, 23, 13, 15, 12, 20]","(7.0, 525.0379205889294)"
7,212,[  7.03     540.186457],[0.17058722 6.91021287],[  7.         524.24491103],[  8.         548.33107879],"[14, 18, 5, 1, 23, 2, 22, 21, 10, 12, 16, 20, 13, 17, 7, 4, 3, 6, 9, 24, 19, 15, 8, 11, 25]","(7.0, 524.2449110328042)"
8,192,[  7.01      533.0337188],[0.09949874 6.67399572],[  7.         499.92846448],[  8.         542.93467903],"[18, 16, 3, 21, 19, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 17, 22, 7, 13, 15, 12, 5]","(7.0, 499.9284644757833)"
9,212,[  7.00333333 526.82109062],[0.05763872 5.78529377],[  7.         499.92846448],[  8.         534.26056004],"[18, 16, 3, 21, 19, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 17, 22, 7, 13, 15, 12, 5]","(7.0, 499.9284644757833)"
10,216,[  7.         523.52566735],[0.         7.48896263],[  7.         496.46524354],[  7.         526.70656214],"[21, 16, 3, 18, 19, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 17, 22, 7, 13, 15, 12, 5]","(7.0, 496.46524353888043)"
11,204,[  7.        518.6005322],[ 0.         10.50553656],[  7.         478.11784623],[  7.         526.70656214],"[22, 5, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 17, 18, 7, 19, 15, 12, 16]","(7.0, 478.1178462277724)"
12,220,[  7.         509.82162387],[ 0.         10.43165709],[  7.         478.11784623],[  7.        524.8730545],"[22, 5, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 17, 18, 7, 19, 15, 12, 16]","(7.0, 478.1178462277724)"
13,222,[  7.        500.3107695],[0.         4.76578268],[  7.         478.11784623],[  7.         505.44125622],"[22, 5, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 17, 18, 7, 19, 15, 12, 16]","(7.0, 478.1178462277724)"
14,208,[  7.         497.41658763],[0.         5.99540805],[  7.         473.71068497],[  7.         499.92846448],"[18, 16, 3, 17, 19, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 21, 22, 7, 13, 15, 12, 5]","(7.0, 473.7106849669797)"
15,210,[  7.         493.56145741],[0.        8.3021101],[  7.         473.71068497],[  7.         499.92846448],"[18, 16, 3, 17, 19, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 21, 22, 7, 13, 15, 12, 5]","(7.0, 473.7106849669797)"
16,228,[  7.         487.10919604],[0.         8.49415379],[  7.         472.32773465],[  7.         497.51618528],"[22, 5, 3, 4, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 21, 11, 17, 18, 7, 19, 15, 12, 16]","(7.0, 472.32773464799055)"
17,198,[  7.         478.74374504],[0.         2.54566353],[  7.         463.07206631],[  7.         482.95578161],"[7, 4, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 5, 11, 17, 18, 22, 19, 15, 12, 16]","(7.0, 463.0720663056331)"
18,202,[  7.         477.10312775],[0.         2.55166253],[  7.         463.07206631],[  7.         478.11784623],"[7, 4, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 5, 11, 17, 18, 22, 19, 15, 12, 16]","(7.0, 463.0720663056331)"
19,234,[  7.        475.9488991],[0.         3.33990061],[  7.         463.07206631],[  7.         478.11784623],"[7, 4, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 5, 11, 17, 18, 22, 19, 15, 12, 16]","(7.0, 463.0720663056331)"
20,230,[  7.         473.44698943],[0.         3.68935809],[  7.         463.07206631],[  7.         478.11784623],"[7, 4, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 5, 11, 17, 18, 22, 19, 15, 12, 16]","(7.0, 463.0720663056331)"
21,224,[  7.         470.66520515],[0.         3.22254491],[  7.         463.07206631],[  7.         473.71068497],"[7, 4, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 5, 11, 17, 18, 22, 19, 15, 12, 16]","(7.0, 463.0720663056331)"
22,206,[  7.         467.81302976],[0.         2.56012784],[  7.         463.07206631],[  7.         472.32773465],"[7, 4, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 5, 11, 17, 18, 22, 19, 15, 12, 16]","(7.0, 463.0720663056331)"
23,206,[  7.         465.63527202],[0.         0.93875416],[  7.         463.07206631],[  7.         466.79274164],"[7, 4, 3, 21, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 5, 11, 17, 18, 22, 19, 15, 12, 16]","(7.0, 463.0720663056331)"
24,202,[  7.         465.16325827],[0.        1.2354305],[  7.         463.06421106],[  7.         465.94757998],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 17, 7, 18, 19, 15, 12, 16]","(7.0, 463.06421106068626)"
25,216,[  7.         464.33366305],[0.         1.35007186],[  7.         463.06421106],[  7.         465.94757998],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 10, 4, 11, 17, 7, 18, 19, 15, 12, 16]","(7.0, 463.06421106068626)"
26,178,[  7.        463.0540472],[0.         0.30658593],[  7.         457.75274232],[  7.         463.07206631],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 7, 4, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 457.75274232363034)"
27,210,[  7.         463.01331407],[0.         0.53560789],[  7.         457.75274232],[  7.         463.07206631],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 7, 4, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 457.75274232363034)"
28,200,[  7.         462.91896876],[0.         0.86362733],[  7.         457.75274232],[  7.         463.07206631],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 7, 4, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 457.75274232363034)"
29,218,[  7.         462.74814014],[0.         1.23611133],[  7.         457.75274232],[  7.         463.07206631],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 7, 4, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 457.75274232363034)"
30,220,[  7.         462.34577649],[0.         1.75983492],[  7.         457.75274232],[  7.         463.07206631],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 7, 4, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 457.75274232363034)"
31,238,[  7.         461.56201532],[0.         2.26855009],[  7.         457.75274232],[  7.         463.06421106],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 8, 7, 4, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 457.75274232363034)"
32,188,[  7.         459.76448518],[0.         2.36129388],[  7.         455.33558397],[  7.         463.06421106],"[22, 21, 3, 5, 13, 14, 9, 8, 23, 25, 24, 20, 1, 2, 6, 7, 4, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 455.3355839704428)"
33,226,[  7.        457.6759898],[0.         0.66117117],[  7.         450.16939356],[  7.         457.75274232],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 4, 7, 8, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 450.1693935581167)"
34,204,[  7.         457.52451003],[0.         1.12951064],[  7.         450.16939356],[  7.         457.75274232],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 4, 7, 8, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 450.1693935581167)"
35,222,[  7.         457.18188618],[0.         1.73346446],[  7.         450.16939356],[  7.         457.75274232],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 4, 7, 8, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 450.1693935581167)"
36,202,[  7.         456.34380572],[0.         2.55112616],[  7.         450.16939356],[  7.         457.75274232],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 4, 7, 8, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 450.1693935581167)"
37,216,[  7.         454.69318429],[0.         3.09157037],[  7.         450.16939356],[  7.         457.75274232],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 4, 7, 8, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 450.1693935581167)"
38,232,[  7.         452.20904896],[0.         2.47310721],[  7.         450.16939356],[  7.         455.33558397],"[22, 21, 3, 5, 13, 14, 9, 6, 23, 25, 24, 20, 1, 2, 4, 7, 8, 11, 17, 10, 18, 19, 15, 12, 16]","(7.0, 450.1693935581167)"
39,212,[  7.         450.16430662],[0.         0.08796146],[  7.         448.64331072],[  7.         450.16939356],"[22, 21, 3, 5, 13, 11, 9, 6, 23, 25, 24, 20, 1, 2, 4, 7, 8, 14, 17, 10, 18, 19, 15, 12, 16]","(7.0, 448.6433107187383)"
