address,activity_days
"JALAN 8,TAMAN DELIMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 9,TAMAN DELIMA, KLUANG JOHOR","Monday,Thursday"
"JALAN DELIMA 1,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 2,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 3,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 4,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 6,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 7,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 8,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 10,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 11,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 12,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 13,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 14,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 15,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 17,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 18,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 19,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 20,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 21,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 22,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 23,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 24,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 25,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 26,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DELIMA 27,TAMAN DELIMA 2, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DESA,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 1,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 10,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 10/1,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 10/2,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 10/3,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 10/4,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 11,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 11/1,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 12,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 12/1,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 12/2,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 2,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 3,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 4,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"GERAI MPK,JALAN DESA 5,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 5/1,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 5/2,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 5/3,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 6,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 7,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 7/1,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 7/2,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"DEWAN SERBAGUNA,JALAN DESA 7/2,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 7/3,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 7/4,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 7/5,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 7/6,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 7/7,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 8,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 8/1,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 8/2,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 8/3,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 8/4,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 8/5,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"SURAU NURUL ULUM,JALAN DESA 8/5,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN DESA 8/6,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 8/7,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 9,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 9/1,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 9/2,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 9/3,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 9/4,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN DESA 9/5,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"SEKOLAH AGAMA TAMAN DESA,JALAN DESA 9/5,TAMAN DESA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN ONG KAI TOCK,TAMAN DESA, KLUANG JOHOR","Monday,Thursday"
"JALAN PISANG BERANGAN,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG BERANGAN 1,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG BERANGAN 2,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG BERANGAN 4,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG NIPAH,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG LILIN,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG LEMAK MANIS,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG TANDUK,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG KAPAS,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG RESTALI,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG NANGKA,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG BOYAN,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG RAJA UDANG,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"SMK SAINS JOHOR,JALAN PISANG RAJA UDANG,TAMAN DESA HARMONI, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN PISANG JELAI,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG RAJA 2,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG RAJA 3,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN PISANG EMAS,TAMAN DESA HARMONI, KLUANG JOHOR","Tuesday,Friday"
"JALAN BERKAT,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT,TAMAN EMAS, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN SAHABAT 1,TAMAN EMAS, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN SAHABAT 10,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT 11,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT 12,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT 2,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT 3,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"SURAU TMN EMAS,JALAN SAHABAT 3,TAMAN EMAS, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN SAHABAT 4,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT 5,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT 6,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT 7,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT 8,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN SAHABAT 9,TAMAN EMAS, KLUANG JOHOR","Tuesday,Friday"
"JALAN IDAMAN 2,TAMAN IDAMAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN IDAMAN 3,TAMAN IDAMAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN IDAMAN 5,TAMAN IDAMAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN IDAMAN 6,TAMAN IDAMAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN IDAMAN 7,TAMAN IDAMAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN PERSIARAN IDAMAN,TAMAN IDAMAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 1,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 1,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 1/1,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 1/2,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 1/3,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 1/4,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 1/5,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"SMK SERI INTAN,JALAN INTAN 1/6,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 1/7,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"GERAI  MPK,JALAN INTAN 2,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 2/1,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 2/10,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/11,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/12,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/13,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/14,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/15,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/16,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/17,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/18,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/19,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/2,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 2/20,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/21,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/22,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/23,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/3,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 2/4,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 2/5,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 2/6,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/7,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/8,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 2/9,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 3,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 3,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 3/1,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 3/2,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 3/3,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 3/4,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 3/5,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 3/6,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"SR AGAMA BERSEPADU (SRAB),JALAN INTAN 3/6,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 4,TAMAN INTAN, KLUANG JOHOR","Tuesday,Friday"
"SK SERI INTAN,JALAN INTAN 4,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 4/1,TAMAN INTAN, KLUANG JOHOR","Tuesday,Friday"
"JALAN INTAN 4/2,TAMAN INTAN, KLUANG JOHOR","Tuesday,Friday"
"JALAN INTAN 4/3,TAMAN INTAN, KLUANG JOHOR","Tuesday,Friday"
"JALAN INTAN 4/4,TAMAN INTAN, KLUANG JOHOR","Tuesday,Friday"
"JALAN INTAN 4/5,TAMAN INTAN, KLUANG JOHOR","Tuesday,Friday"
"JALAN INTAN 4/6,TAMAN INTAN, KLUANG JOHOR","Tuesday,Friday"
"JALAN INTAN 4/7,TAMAN INTAN, KLUANG JOHOR","Tuesday,Friday"
"JALAN INTAN 5,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"SURAU NURUL HIDAYAH  / BALAIRAYA,JALAN INTAN 5,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"BALAI RAYA,JALAN INTAN 5,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 5/1,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 5/10,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 5/2,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 5/3,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 5/4,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 5/5,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 5/6,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 5/7,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 5/8,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 5/9,TAMAN INTAN, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INTAN 6/1,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 6/2,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 6/3,TAMAN INTAN, KLUANG JOHOR","Monday,Thursday"
"JALAN INTAN 7/1,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 7/2,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 7/3,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN INTAN 7/4,TAMAN INTAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN BENAR,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN IKHLAS,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN INGIN,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN JAYA,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN MAJU,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN MANJA,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN MOLEK,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN MUHIBBAH,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN RAHMAT,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN SAYANG,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"LORONG 1, JALAN JAYA,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"LORONG 3, JALAN JAYA,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"LORONG 4, JALAN JAYA,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN SIHAT,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN SETIA,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"LORONG SETIA 1, JALAN SETIA,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"LORONG SETIA 2, JALAN SETIA,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"SK CANOSSIAN CONVENT,JALAN TENGKU MARIAM,TAMAN KERJASAMA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"SMK CANOSSIAN CONVENT,JALAN TENGKU MARIAM,TAMAN KERJASAMA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"PUSAT JAGAAN MIRIAM HOME,JALAN TENGKU MARIAM,TAMAN KERJASAMA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN MUAFAKAT,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN DATO IBRAHIM MAJID,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN CHANGKAT JAYA,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"LORONG 1, JALAN  MAJU,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"LORONG 2, JALAN MAJU,TAMAN KERJASAMA, KLUANG JOHOR","Wednesday,Sunday"
"JALAN KIARAMAS 1,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 2,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 3,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 4,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 5,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN KIARAMAS 6,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 7,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 8,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 11,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 12,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 13,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 14,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 15,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN KIARAMAS 16,TAMAN KIARAMAS, KLUANG JOHOR","Monday,Thursday"
"JALAN BELIMBING,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN DATO SYED ZAIN,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN FONG WAN,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN ITHNIN MAAROF,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN JAMBU,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN KOPI,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN LEE KOK WAH,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN MANGGA,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN OOI BOON KENG,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN SIEW YONG THOI,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN SUKIMAN SAHLAN,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN TIAN MIN WAH,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN TONG TEOW KEE,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"LORONG BELIMBING 1,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"LORONG BELIMBING 2,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN CHEONG BOON SENG,TAMAN KLUANG, KLUANG JOHOR","Tuesday,Friday"
"JALAN 1,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 10,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 116,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
"JALAN 118,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
"JALAN 12,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 120,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
"JALAN 122,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
"JALAN 124,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
"JALAN 126,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
"JALAN 13,TAMAN KLUANG BARAT, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"
"JALAN 15,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 16,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 17,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 18,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 19,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 2,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 20,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 21,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 23,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 24,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 25,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 26,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 27,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 28,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 29,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 30,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 31,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 32,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 33,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 34,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 35,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 36,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 37,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 37 A,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 38,TAMAN KLUANG BARAT, KLUANG JOHOR","Wednesday,Sunday"
"JALAN 39,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
"JALAN 39 A,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
"JALAN 39 B,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
"JALAN 39 C,TAMAN KLUANG BARAT, KLUANG JOHOR","Tuesday,Friday"
